"Catcher","pSRAA","pSRrAA","Pitcher","pSRAA","pSRrAA","Runner","pSRAA","pSRrAA"
"Hank Conger","7.29%",1.38,"Anibal Sanchez","4.6%",0.76,"Danny Santana","-3.09%",-0.3
"Russell Martin","4.19%",1.38,"Felix Hernandez","8.7%",0.8,"Rougned Odor","-3.11%",-0.3
"Francisco Cervelli","4.31%",1.82,"Jake Arrieta","6.2%",0.83,"Erick Aybar","-7.12%",-0.3
"Bobby Wilson","6.94%",1.82,"Gerrit Cole","7.2%",0.84,"Logan Forsythe","-5.02%",-0.34
"Travis d'Arnaud","6.27%",2.49,"Matt Andriese","9.4%",0.92,"Andrew McCutchen","-5.08%",-0.34
"Nick Hundley","8.38%",2.61,"Cole Hamels","7.8%",0.96,"Alexei Ramirez","-4.89%",-0.36
"Miguel Montero","9.48%",2.95,"Dellin Betances","10.8%",0.99,"Nori Aoki","-5.18%",-0.41
"Kurt Suzuki","9.58%",2.98,"Ubaldo Jimenez","9.6%",1.47,"George Springer","-4.90%",-0.48
"Derek Norris","7.35%",3.45,"Jimmy Nelson","14.7%",2.78,"Kirk Nieuwenhuis","-6.16%",-0.49
"Tyler Flowers","14.00%",4.27,"Noah Syndergaard","9.9%",2.95,"Cesar Hernandez","-6.20%",-1.02
