"Catcher","pSRAA","pSRrAA","Pitcher","pSRAA","pSRrAA","Runner","pSRAA","pSRrAA"
"Jonathan Lucroy","-9.13%",-5.52,"Drew Pomeranz","-13.3%",-0.97,"Billy Hamilton","11.31%",3.93
"Salvador Perez","-10.57%",-4.19,"Tom Koehler","-9.2%",-0.95,"Starling Marte","6.72%",2.01
"Welington Castillo","-12.80%",-3.75,"Wily Peralta","-6.2%",-0.8,"Rajai Davis","7.69%",1.78
"James McCann","-11.82%",-3.46,"Tyler Chatwood","-14.4%",-0.79,"Jonathan Villar","3.87%",1.7
"Jett Bandy","-8.49%",-1.97,"Ian Kennedy","-7.0%",-0.68,"Trea Turner","6.70%",1.39
"Buster Posey","-4.95%",-1.84,"Jaime Garcia","-7.4%",-0.68,"Eduardo Nunez","4.15%",1.11
"Martin Maldonado","-7.55%",-1.8,"Mike Fiers","-12.5%",-0.61,"Jarrod Dyson","6.26%",1.03
"Evan Gattis","-12.57%",-1.76,"Zach Davies","-6.2%",-0.61,"Odubel Herrera","5.71%",0.98
"J. T. Realmuto","-4.09%",-1.55,"Jon Lester","-3.0%",-0.6,"Mike Trout","3.93%",0.79
"Gary Sanchez","-10.35%",-1.45,"Justin Grimm","-11.0%",-0.53,"Keon Broxton","6.10%",0.78
